Query,1,2,3,4,5,6,7,8,9,10
flues2,flues8,flues3,flues1,flues7,flues6,flues4,flues2,flues9,flues5,flues10
flues3,flues4,flues1,flues5,flues8,flues3,flues6,flues2,flues7,flues9,flues10
flues4,flues8,flues3,flues1,flues7,flues2,flues6,flues4,flues5,flues9,flues10
hapenny_bridge0,hapenny_bridge11,hapenny_bridge13,hapenny_bridge8,hapenny_bridge1,hapenny_bridge2,hapenny_bridge7,hapenny_bridge3,hapenny_bridge9,hapenny_bridge10,hapenny_bridge12
hapenny_bridge1,hapenny_bridge13,hapenny_bridge11,hapenny_bridge1,hapenny_bridge9,hapenny_bridge2,hapenny_bridge7,hapenny_bridge4,hapenny_bridge10,hapenny_bridge8,hapenny_bridge3
hapenny_bridge2,hapenny_bridge4,hapenny_bridge11,hapenny_bridge13,hapenny_bridge9,hapenny_bridge10,hapenny_bridge1,hapenny_bridge3,hapenny_bridge6,hapenny_bridge7,hapenny_bridge2
hapenny_bridge3,hapenny_bridge11,hapenny_bridge12,hapenny_bridge8,hapenny_bridge13,hapenny_bridge9,hapenny_bridge1,hapenny_bridge2,hapenny_bridge3,hapenny_bridge4,hapenny_bridge10
hapenny_bridge4,hapenny_bridge4,hapenny_bridge9,hapenny_bridge10,hapenny_bridge12,hapenny_bridge6,hapenny_bridge7,hapenny_bridge8,hapenny_bridge11,hapenny_bridge3,hapenny_bridge13
karlsplatz0,karlsplatz1,karlsplatz3,karlsplatz10,karlsplatz5,karlsplatz2,karlsplatz7,karlsplatz15,trinity_college_library12,karlsplatz6,trinity_college_library7
karlsplatz1,karlsplatz1,karlsplatz3,schonbrunn8,karlsplatz5,karlsplatz10,karlsplatz6,schonbrunn5,schonbrunn6,karlsplatz4,karlsplatz15
karlsplatz2,karlsplatz6,karlsplatz3,karlsplatz1,schonbrunn10,schonbrunn5,karlsplatz4,trinity_college_library11,karlsplatz5,karlsplatz15,trinity_college_library12
karlsplatz3,karlsplatz12,karlsplatz11,karlsplatz1,karlsplatz10,karlsplatz13,karlsplatz5,distractor190,karlsplatz2,karlsplatz3,schonbrunn5
karlsplatz4,karlsplatz11,karlsplatz12,karlsplatz1,karlsplatz10,schonbrunn5,karlsplatz3,schonbrunn1,karlsplatz5,karlsplatz7,karlsplatz13
platform_9_potter0,platform_9_potter2,distractor203,distractor289,karlsplatz9,platform_9_potter5,platform_9_potter3,distractor274,karlsplatz8,platform_9_potter8,platform_9_potter1
platform_9_potter1,platform_9_potter11,platform_9_potter1,platform_9_potter10,platform_9_potter7,platform_9_potter5,distractor163,distractor173,distractor32,distractor111,platform_9_potter2
platform_9_potter2,distractor274,platform_9_potter2,platform_9_potter5,distractor235,distractor203,platform_9_potter9,platform_9_potter8,platform_9_potter10,distractor353,distractor297
platform_9_potter3,platform_9_potter9,platform_9_potter2,platform_9_potter8,platform_9_potter10,platform_9_potter7,platform_9_potter6,platform_9_potter1,distractor366,platform_9_potter11,platform_9_potter3
platform_9_potter4,platform_9_potter8,platform_9_potter2,platform_9_potter10,platform_9_potter9,platform_9_potter1,platform_9_potter7,platform_9_potter6,platform_9_potter3,platform_9_potter11,distractor203
roman_forums0,roman_forums12,roman_forums3,roman_forums2,roman_forums11,roman_forums7,roman_forums4,roman_forums5,roman_forums1,roman_forums6,roman_forums8
roman_forums1,roman_forums12,roman_forums9,roman_forums2,roman_forums5,roman_forums1,roman_forums8,roman_forums3,roman_forums11,roman_forums4,roman_forums7
roman_forums2,roman_forums2,roman_forums3,roman_forums5,roman_forums12,trinity_college_library7,trinity_college_library12,roman_forums11,roman_forums6,roman_forums7,trinity_college_library14
roman_forums3,roman_forums3,roman_forums1,roman_forums5,roman_forums6,roman_forums2,roman_forums12,roman_forums4,roman_forums7,roman_forums10,trinity_college_library11
roman_forums4,roman_forums2,roman_forums3,roman_forums5,roman_forums12,roman_forums4,roman_forums7,roman_forums1,roman_forums6,roman_forums11,roman_forums9
schonbrunn_palace0,schonbrunn5,karlsplatz1,schonbrunn10,schonbrunn9,schonbrunn4,schonbrunn2,schonbrunn1,schonbrunn8,schonbrunn11,schonbrunn6
schonbrunn_palace1,karlsplatz1,schonbrunn5,schonbrunn10,schonbrunn8,schonbrunn4,karlsplatz3,schonbrunn9,schonbrunn1,schonbrunn11,schonbrunn2
schonbrunn_palace2,schonbrunn10,schonbrunn9,schonbrunn4,schonbrunn1,schonbrunn5,karlsplatz6,schonbrunn11,schonbrunn8,trinity_college_library11,karlsplatz3
schonbrunn_palace3,schonbrunn9,schonbrunn10,schonbrunn1,trinity_college_library3,trinity_college_library11,karlsplatz3,schonbrunn4,schonbrunn5,tiny_houses5,karlsplatz6
schonbrunn_palace4,distractor269,schonbrunn1,schonbrunn4,schonbrunn9,karlsplatz1,karlsplatz3,schonbrunn8,karlsplatz6,schonbrunn6,roman_forums6
skyline_from_high0,skyline_from_high1,skyline_from_high2,skyline_from_high5,skyline_from_high3,skyline_from_high4,distractor11,distractor13,distractor38,distractor344,distractor154
skyline_from_high1,skyline_from_high2,skyline_from_high1,skyline_from_high5,skyline_from_high4,skyline_from_high3,distractor11,distractor344,distractor13,distractor35,distractor38
skyline_from_high2,skyline_from_high5,skyline_from_high1,skyline_from_high4,skyline_from_high3,skyline_from_high2,distractor11,roman_forums6,trinity_college_library11,distractor13,roman_forums11
skyline_from_high3,skyline_from_high1,skyline_from_high5,skyline_from_high2,skyline_from_high3,skyline_from_high4,distractor13,distractor11,distractor38,distractor250,roman_forums6
skyline_from_high4,skyline_from_high2,skyline_from_high3,skyline_from_high1,skyline_from_high5,skyline_from_high4,distractor11,distractor13,distractor38,distractor344,distractor119
temple_bar0,temple_bar7,temple_bar11,temple_bar4,temple_bar3,karlsplatz3,temple_bar10,karlsplatz1,trinity_college_library7,trinity_college_library14,tiny_houses5
temple_bar1,temple_bar3,temple_bar4,temple_bar7,temple_bar1,temple_bar6,temple_bar5,temple_bar8,temple_bar2,temple_bar11,temple_bar10
temple_bar2,temple_bar11,temple_bar7,temple_bar4,temple_bar10,temple_bar3,karlsplatz3,temple_bar1,temple_bar2,distractor69,schonbrunn8
temple_bar3,temple_bar9,temple_bar4,temple_bar3,temple_bar1,temple_bar11,temple_bar5,temple_bar6,temple_bar8,temple_bar7,temple_bar2
temple_bar4,temple_bar7,temple_bar4,temple_bar1,temple_bar3,temple_bar8,temple_bar11,temple_bar9,temple_bar2,karlsplatz5,distractor161
tiny_houses0,tiny_houses1,tiny_houses7,tiny_houses5,tiny_houses6,tiny_houses11,tiny_houses2,trinity_college_library11,tiny_houses12,tiny_houses8,tiny_houses9
tiny_houses1,tiny_houses9,tiny_houses1,tiny_houses6,tiny_houses11,tiny_houses7,tiny_houses8,tiny_houses4,tiny_houses2,trinity_college_library1,trinity_college_library5
tiny_houses2,tiny_houses3,tiny_houses10,tiny_houses1,tiny_houses8,tiny_houses12,distractor294,trinity_college_library6,roman_forums10,distractor46,trinity_college_library13
tiny_houses3,tiny_houses1,tiny_houses8,tiny_houses9,tiny_houses2,tiny_houses11,tiny_houses6,tiny_houses12,trinity_college_library3,distractor294,tiny_houses5
tiny_houses4,tiny_houses4,tiny_houses7,tiny_houses6,tiny_houses2,tiny_houses8,tiny_houses1,tiny_houses11,tiny_houses12,tiny_houses9,tiny_houses3
trinity_college_library0,trinity_college_library1,trinity_college_library3,trinity_college_library11,distractor233,trinity_college_library5,trinity_college_library14,trinity_college_library4,trinity_college_library8,trinity_college_library9,trinity_college_library12
trinity_college_library1,trinity_college_library13,distractor268,trinity_college_library2,trinity_college_library6,trinity_college_library3,trinity_college_library5,distractor233,distractor5,trinity_college_library8,schonbrunn7
trinity_college_library2,trinity_college_library11,trinity_college_library14,trinity_college_library7,trinity_college_library3,trinity_college_library1,trinity_college_library12,trinity_college_library8,tiny_houses5,trinity_college_library4,distractor273
trinity_college_library3,trinity_college_library3,trinity_college_library11,trinity_college_library1,trinity_college_library12,trinity_college_library14,trinity_college_library7,trinity_college_library8,trinity_college_library4,trinity_college_library5,tiny_houses5
trinity_college_library4,trinity_college_library4,trinity_college_library10,trinity_college_library3,trinity_college_library1,tiny_houses8,trinity_college_library5,distractor164,trinity_college_library13,karlsplatz1,roman_forums5
